"Align_ID","Batch.A.01","Batch.A.02","Batch.A.03","Batch.A.04","Batch.A.05","Batch.A.06","Batch.A.07","Batch.A.08","Batch.A.09","Batch.A.10","Batch.A.11","Batch.A.12","Batch.A.13","Batch.A.14","Batch.A.15","mz","rt","Batch.B.01","Batch.B.02","Batch.B.03","Batch.B.04","Batch.B.05","Batch.B.06","Batch.B.07","Batch.B.08","Batch.B.09","Batch.B.10","Batch.B.11","Batch.B.12","Batch.B.13","Batch.B.14","Batch.B.15","mz","rt","Batch.C.01","Batch.C.02","Batch.C.03","Batch.C.04","Batch.C.05","Batch.C.06","Batch.C.07","Batch.C.08","Batch.C.09","Batch.C.10","Batch.C.11","Batch.C.12","Batch.C.13","Batch.C.14","Batch.C.15","mz","rt"
"Align_32","184.7923108","1520.963629","7784.766924","1272.85067","726.8818698","578.0607982","326.9666844","3234.390209","2823.938333","6941.386729","371.7754777","562.1026493","934.5951834","465.7988595","1537.806648","509.2089096","226.7475039","383.9169451","614.4589681","7621.166539","3391.483273","551.4778935","3953.656243","4325.166805","409.4890397","313.366861","49410.26972","36346.4287","186.2719553","41278.66941","3100.082887","1335.60238","509.2089096","226.7475039",2353.013095,216.9945036,408.8646068,8733.798844,409.7967585,1852.948824,575.1630997,2027.885723,908.4764189,1169.986053,23548.30002,6086.902926,8622.551665,249.3417573,353.1508833,509.2089096,226.7475039
"Align_33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9573.039765","10400.06978","9144.944645","16082.00889","14802.94199","10932.89644","9519.271893","10357.64791","12310.16479","9297.074091","16001.77566","46363.77874","14124.86845","24530.66581","15210.34256","105.9558561","568.0220016",16409.1471,12135.30638,14300.73852,20206.52705,10729.56285,10822.89742,10205.04799,14763.65088,17339.20574,15053.36551,21722.68937,17269.20735,16055.73242,10756.42561,9082.243087,105.9558561,568.0220016
"Align_34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6169.930968","19798.98549","39671.99291","21106.09631","16979.74439","20927.70432","6348.284498","5550.046702","3361.329712","8667.303469","15821.07915","7094.276117","2934.988892","6925.237943","3282.85547","77.03918825","168.0014999",3909.739957,4093.441919,5614.528951,16175.89858,17944.8502,45972.11931,7877.414781,6245.263808,18698.14478,5724.015658,8947.838265,8578.219545,2541.216712,8356.156811,3984.212961,77.03918825,168.0014999
"Align_35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2840.616637","19604.32343","13084.91979","4710.108598","9569.865956","43778.55272","6060.090342","23996.63385","5552.171158","3978.977012","5892.156606","27558.97155","693.355885","16932.33597","6059.703865","138.055957","30.84099936",19085.90958,38364.9623,5226.265543,12289.83962,5471.983606,1956.360004,21110.77444,19212.82208,10049.03873,7510.85519,6993.119787,4949.958804,7581.056864,22596.812,2056.221297,138.055957,30.84099936
"Align_36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9616.069591","8357.861594","6021.449953","12864.20992","12657.06604","9349.617681","8950.50498","8439.948023","12292.69366","9506.314471","13509.46878","38879.71078","17814.63573","23534.17631","18171.4438","146.9832608","568.1229732",13813.51215,11664.7239,13408.18985,21913.88237,8572.173218,9399.979401,8427.22723,12573.56215,13305.05938,14064.72208,20522.40735,14656.01789,13089.73989,9444.404073,6377.273083,146.9832608,568.1229732
"Align_37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5381.194913","12962.63549","27162.89376","15975.97294","12878.3767","14984.05399","13320.43584","3652.872453","3796.751956","8620.759954","9750.604008","780.4787022","3974.105036","7070.610794","5519.74222","106.0377618","168.040993",430.1660452,4205.436243,5332.56459,24867.07116,13888.12642,38147.66268,4839.582538,4936.674115,12913.46141,4205.438361,8023.192556,5729.603902,1663.565325,7017.742622,2417.659183,106.0377618,168.040993
"Align_38","25863.80557","19458.60952","30787.92822","17753.84867","27872.90918","16919.92043","16865.21892","31509.01678","27287.65344","32788.10285","25847.56752","30130.79751","25664.95157","27307.26558","18637.40527","438.1990187","559.8505048","22513.64349","24452.89525","20319.84382","31201.50323","29082.22627","27581.5033","17146.87281","19654.13292","28220.96223","23216.78388","31821.81056","36000.13881","25823.41127","37906.91243","27927.83589","438.1990187","559.8505048",33731.13912,28889.64417,29173.54897,28656.58696,18766.81427,18793.39747,27098.62879,31536.6752,34511.87016,33021.52241,30901.42373,29155.75995,30492.0342,19361.90234,22380.46223,438.1990187,559.8505048
"Align_39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",25057.95527,24401.99377,9543.308499,30294.45911,36074.21681,21789.48655,10008.43928,26652.49366,11037.0355,6916.522871,19636.54598,15917.56765,17000.98377,29655.27058,13181.46986,241.1557579,54.99850094
"Align_40","5208.424717","10598.10895","11126.08187","9906.525815","25085.81376","13550.31428","8878.186605","7926.063328","8904.784295","1569.646166","7516.017971","4885.320703","2394.435387","11824.4861","11542.65259","327.0720317","129.553998","7272.41218","8851.340954","21474.76189","12804.79587","13783.41413","21298.02101","15349.1786","10232.00409","8670.582315","7167.328337","20879.98747","9487.038381","933.8168003","4995.158749","2428.682334","327.0720317","129.553998",6842.249802,21369.29974,4276.730744,12707.48743,35805.71429,3372.405774,3081.505686,22463.30123,1418.739406,1893.428069,6458.878596,1186.869166,8182.343563,10881.75316,5134.754022,327.0720317,129.553998
"Align_41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","271.6378239","14534.69747","7187.762475","5032.3747","19249.90923","21879.72073","20675.13374","17900.02911","1303.920746","4491.604891","4849.919258","2496.257455","322.2818596","911.8216495","1724.837423","192.0318166","106.4880031",1452.392674,35028.25284,13787.02341,6205.947609,8841.364838,1179.495803,5834.34097,34815.75988,1976.395594,4673.814425,2275.449543,1190.505319,414.575035,16118.14133,2427.09812,192.0318166,106.4880031
