name,Batch-C-01,Batch-C-02,Batch-C-03,Batch-C-04,Batch-C-05,Batch-C-06,Batch-C-07,Batch-C-08,Batch-C-09,Batch-C-10,Batch-C-11,Batch-C-12,Batch-C-13,Batch-C-14,Batch-C-15,mz,rt
C_214,950.023491,902.8620607,1913.399501,550.9362399,899.0968833,853.8395137,890.0953915,1079.4747,792.8288296,1023.455992,641.971066,673.8517641,832.5285845,853.7676754,964.4006478,305.3022718,404.2830001
C_215,241.3615654,229.4856727,100.7047586,1732.12409,1256.779299,2039.684962,467.2102726,3635.24328,536.4814357,175.3912884,360.927296,1570.401628,30045.69694,1652.666163,101.5618535,306.1569602,169.674
C_216,567.14006,1687.420222,761.4023724,815.1850782,881.9700402,749.1745151,886.5702339,673.7782084,462.5451609,991.414168,604.2023909,350.0716881,468.4847174,1375.182556,696.4195041,312.8919018,25.09399994
C_217,41515.81856,41714.58583,8476.721678,35521.86128,115517.0059,37577.92963,7174.170122,29797.74981,5534.447017,2261.511093,56878.51818,12940.81218,25688.40485,47631.39577,10879.18686,314.2331058,329.4750099
C_218,1608.032817,2113.132761,4800.665793,1442.453131,4745.077879,1697.903899,318.4476181,1420.070656,1138.385575,261.0384237,2398.618379,486.6824846,1153.210785,2622.971267,696.9900093,317.2447963,338.0024969
C_219,433.5430364,308.8706025,1904.20912,658.2356884,1234.836334,345.2391658,159.4174466,1646.934108,821.4672442,222.5994807,733.4346371,301.0632064,342.2071416,622.5740487,521.3324259,318.1945293,327.961998
C_220,652.7236447,511.1940075,388.5972909,3603.474411,1371.92427,709.9693894,558.4128766,926.9417212,956.954007,318.6210665,1679.021412,919.7624975,26055.6595,764.9222412,216.6616072,320.1279416,167.971999
C_221,1851.756642,3979.745108,1120.658267,4331.470561,3501.444067,2806.691233,724.9896219,3389.747285,905.5841962,877.083029,1240.756797,1470.294294,1829.99312,2997.218689,824.7183889,326.1378244,119.5524987
C_222,335.6891772,535.468931,432.972687,35.21274731,536.8245003,517.4869758,537.912946,325.6083818,339.6654663,384.2716118,207.6794892,318.4081074,289.1179,535.9113765,586.1552481,326.3773397,438.2389953
C_223,6842.249802,21369.29974,4276.730744,12707.48743,35805.71429,3372.405774,3081.505686,22463.30123,1418.739406,1893.428069,6458.878596,1186.869166,8182.343563,10881.75316,5134.754022,327.0720317,129.553998
C_224,1151.061399,1347.319323,312.7047096,2948.072818,4670.171618,5399.839949,208.4233405,1469.766595,1470.790473,874.1463036,1142.310973,519.9110536,1128.975059,2254.973602,616.6520829,327.1870086,317.0909992
C_225,1150.622656,3799.237767,938.9772535,2100.755347,5461.481104,643.0487239,511.8145695,3732.149831,969.5647806,559.9834734,1181.247,250.9038719,1127.593138,1872.280913,872.3778914,328.0687854,131.0990034
C_226,16177.67903,28183.3689,13353.74963,31061.43012,35487.45575,38460.54771,2999.916064,10102.28773,2660.449422,1715.510172,49570.61264,6841.428528,9121.642989,25437.34496,4861.989327,330.2278634,295.466987
C_227,8205.762546,7283.754904,3500.216379,8249.246033,9398.216972,5567.330626,1809.557863,5000.163524,2658.317269,1198.774116,6798.858366,10182.92853,6449.288041,3817.717559,2642.18576,332.2122824,304.9790019
C_228,3394.260658,3858.590979,3367.416492,2133.556224,3940.957029,4022.351715,3876.980114,3471.353217,3218.791654,3442.93955,1326.662819,3090.47924,3036.411723,4003.014724,3474.778505,332.3319489,429.4539969
C_229,2935.671666,809.4044435,830.6365563,5613.384623,6257.489935,3786.747579,1108.905888,1341.224893,6672.013688,997.5094048,27429.70656,2319.360243,52112.8754,1241.121675,383.3998543,333.1050368,171.1439996
C_230,973.7352317,1038.442658,957.5019608,627.98464,1210.776508,1155.015614,1127.98008,980.7812473,928.1590666,995.2319078,381.0305732,879.2798068,923.8069082,1128.944088,1010.752502,333.3326534,428.9629933
C_231,752.7617819,698.9142483,1308.437548,564.4992143,388.0423508,873.7604853,1397.433518,397.0733211,664.3787412,451.8157423,225.6670413,338.024289,417.8929103,526.1582925,607.0363109,334.9548885,36.28200071
C_232,2531.79521,2257.090616,448.6197225,3566.918507,6135.801634,4208.781222,915.7837524,1482.7411,216.3198749,242.4975866,5882.503591,624.9842428,571.0268071,2250.170963,1563.915624,340.2488352,345.0900071
C_233,952.4060147,1167.350802,414.3826366,822.3775778,1335.287527,291.3266976,2509.974649,646.6754269,615.0380502,263.6631534,935.3244931,506.3281556,401.3638392,1306.503546,577.9802706,341.0365122,40.45999957
